episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/exploration_infos,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,evaluation/episode_reward_max,evaluation/episode_reward_min,evaluation/episode_reward_mean,evaluation/episode_len_mean,evaluation/episodes_this_iter,evaluation/hist_stats/episode_reward,evaluation/hist_stats/episode_lengths,evaluation/sampler_perf/mean_env_wait_ms,evaluation/sampler_perf/mean_processing_ms,evaluation/sampler_perf/mean_inference_ms
-181.33439047149602,-181.33439047149602,-181.33439047149602,1000.0,1,1000,False,1000,1,1,1ada625f712e4d6092debd254a87646b,2020-02-23_08-50-34,1582447834,4.11297345161438,4.11297345161438,3871,ip-172-31-22-183,172.31.22.183,4.11297345161438,1000,1,0,7e8bf91e,0,[-181.33439047149602],[1000],0.2276328179267022,0.29609062812187814,2.7008840254136732,[None],500,0,1000,2.571,nan,nan,0.003,0.0,nan,8.683333333333334,6.583333333333333,-68.24426760581166,-68.24426760581166,-68.24426760581166,1000.0,1,[-68.24426760581166],[1000],0.23583027270885853,0.0974324556973788,1.8176622800417357
-145.1998704512987,-181.33439047149602,-163.26713046139736,1000.0,1,1000,False,2000,2,2,1ada625f712e4d6092debd254a87646b,2020-02-23_08-50-41,1582447841,3.074216842651367,7.187190294265747,3871,ip-172-31-22-183,172.31.22.183,7.187190294265747,2000,2,0,7e8bf91e,0,"[-145.1998704512987, -181.33439047149602]","[1000, 1000]",0.22716043465863334,0.29584511382612605,2.451969150501312,[None],1000,0,2000,2.5,nan,nan,0.003,0.0,nan,9.0,6.6800000000000015,-79.25742149687456,-79.25742149687456,-79.25742149687456,1000.0,1,[-79.25742149687456],[1000],0.23492236902331304,0.09688551815553405,1.770802344875536
-133.25335293718047,-181.33439047149602,-153.26253795332505,1000.0,1,1000,False,3000,3,3,1ada625f712e4d6092debd254a87646b,2020-02-23_08-50-46,1582447846,3.0453948974609375,10.232585191726685,3871,ip-172-31-22-183,172.31.22.183,10.232585191726685,3000,3,0,7e8bf91e,0,"[-133.25335293718047, -181.33439047149602, -145.1998704512987]","[1000, 1000, 1000]",0.22701344458331318,0.29560571812944775,2.3112842511240195,[None],1500,0,3000,2.499,nan,nan,0.003,0.0,nan,8.525,6.7,-84.67310858302339,-84.67310858302339,-84.67310858302339,1000.0,1,[-84.67310858302339],[1000],0.23479788988997483,0.09678674117599635,1.7565953179384541
-133.25335293718047,-186.90698133217893,-161.67364879803853,1000.0,1,1000,False,4000,4,4,1ada625f712e4d6092debd254a87646b,2020-02-23_08-50-51,1582447851,3.0553369522094727,13.287922143936157,3871,ip-172-31-22-183,172.31.22.183,13.287922143936157,4000,4,0,7e8bf91e,0,"[-186.90698133217893, -181.33439047149602, -145.1998704512987, -133.25335293718047]","[1000, 1000, 1000, 1000]",0.22684194889450626,0.2955832104243225,2.219698186009156,[None],2000,0,4000,2.528,nan,nan,0.003,0.0,nan,8.72857142857143,6.700000000000001,-75.36552734041186,-75.36552734041186,-75.36552734041186,1000.0,1,[-75.36552734041186],[1000],0.23423800078727877,0.09639326914105824,1.7426975725055247
-133.25335293718047,-333.5204814349111,-196.04301532541305,1000.0,1,1000,False,5000,5,5,1ada625f712e4d6092debd254a87646b,2020-02-23_08-50-56,1582447856,3.0505642890930176,16.338486433029175,3871,ip-172-31-22-183,172.31.22.183,16.338486433029175,5000,5,0,7e8bf91e,0,"[-333.5204814349111, -181.33439047149602, -145.1998704512987, -133.25335293718047, -186.90698133217893]","[1000, 1000, 1000, 1000, 1000]",0.22658989633705234,0.29543666976595,2.1548521083760503,[None],2500,0,5000,2.526,nan,nan,0.003,0.0,nan,8.799999999999999,6.700000000000001,-82.58893196208447,-82.58893196208447,-82.58893196208447,1000.0,1,[-82.58893196208447],[1000],0.23372915596324095,0.09634098609050162,1.7356875419044608
-133.25335293718047,-333.5204814349111,-221.1656931562145,1000.0,1,1000,False,6000,6,6,1ada625f712e4d6092debd254a87646b,2020-02-23_08-51-02,1582447862,3.055166006088257,19.39365243911743,3871,ip-172-31-22-183,172.31.22.183,19.39365243911743,6000,6,0,7e8bf91e,0,"[-306.9477796255033, -145.1998704512987, -133.25335293718047, -186.90698133217893, -333.5204814349111]","[1000, 1000, 1000, 1000, 1000]",0.22607342318219675,0.29518653463223404,1.9871938881729272,[None],3000,0,6000,2.598,nan,nan,0.003,0.0,nan,8.8625,6.7,-77.22397178660178,-77.22397178660178,-77.22397178660178,1000.0,1,[-77.22397178660178],[1000],0.23313590515218086,0.09622543657884819,1.7280558748377142
-133.25335293718047,-432.3736585300667,-278.6004507719681,1000.0,1,1000,False,7000,7,7,1ada625f712e4d6092debd254a87646b,2020-02-23_08-51-07,1582447867,3.0656590461730957,22.459311485290527,3871,ip-172-31-22-183,172.31.22.183,22.459311485290527,7000,7,0,7e8bf91e,0,"[-432.3736585300667, -133.25335293718047, -186.90698133217893, -333.5204814349111, -306.9477796255033]","[1000, 1000, 1000, 1000, 1000]",0.22562343490857498,0.29501475533297333,1.914626275739741,[None],3500,0,7000,2.509,nan,nan,0.003,0.0,nan,9.014285714285714,6.700000000000001,-72.59611365717667,-72.59611365717667,-72.59611365717667,1000.0,1,[-72.59611365717667],[1000],0.2333978945281638,0.09641050015359483,1.7253588036356133
-186.90698133217893,-432.3736585300667,-291.4815140475249,1000.0,1,1000,False,8000,8,8,1ada625f712e4d6092debd254a87646b,2020-02-23_08-51-12,1582447872,3.09078311920166,25.550094604492188,3871,ip-172-31-22-183,172.31.22.183,25.550094604492188,8000,8,0,7e8bf91e,0,"[-197.65866931496438, -186.90698133217893, -333.5204814349111, -306.9477796255033, -432.3736585300667]","[1000, 1000, 1000, 1000, 1000]",0.22527947099171935,0.2950364412827054,1.8733970163923164,[None],4000,0,8000,2.578,nan,nan,0.003,0.0,nan,9.042857142857143,6.700000000000001,-87.34761058473796,-87.34761058473796,-87.34761058473796,1000.0,1,[-87.34761058473796],[1000],0.23316040797138823,0.09638430878246237,1.7246176728366718
-197.65866931496438,-432.3736585300667,-316.4083629522318,1000.0,1,1000,False,9000,9,9,1ada625f712e4d6092debd254a87646b,2020-02-23_08-51-17,1582447877,3.062333106994629,28.612427711486816,3871,ip-172-31-22-183,172.31.22.183,28.612427711486816,9000,9,0,7e8bf91e,0,"[-311.54122585571366, -333.5204814349111, -306.9477796255033, -432.3736585300667, -197.65866931496438]","[1000, 1000, 1000, 1000, 1000]",0.2250083191003839,0.29494975584355376,1.84638103711888,[None],4500,0,9000,2.533,nan,nan,0.003,0.0,nan,8.5125,6.7,-73.11118011240326,-73.11118011240326,-73.11118011240326,1000.0,1,[-73.11118011240326],[1000],0.23317975397176735,0.09652834814822008,1.7231682276357585
-195.7645837997506,-432.3736585300667,-288.8571834251997,1000.0,1,1000,False,10000,10,10,1ada625f712e4d6092debd254a87646b,2020-02-23_08-51-22,1582447882,3.1063952445983887,31.718822956085205,3871,ip-172-31-22-183,172.31.22.183,31.718822956085205,10000,10,0,7e8bf91e,0,"[-195.7645837997506, -306.9477796255033, -432.3736585300667, -197.65866931496438, -311.54122585571366]","[1000, 1000, 1000, 1000, 1000]",0.22493566190577036,0.29511347434958257,1.8275101060670267,[None],5000,0,10000,2.493,nan,nan,0.003,0.0,nan,8.72857142857143,6.700000000000001,-75.98697514004456,-75.98697514004456,-75.98697514004456,1000.0,1,[-75.98697514004456],[1000],0.2329863258486163,0.09645284289014946,1.7230322141430876
