episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,optimizer_steps_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/exploration_infos,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/mean_q,info/learner/default_policy/max_q,info/learner/default_policy/min_q
-171.55102340667653,-646.96425829957,-435.8774673537333,1000.0,1,1000,1000,False,11000,11,11,a05c6c4c06b54bdb94247dab795d57f6,2020-04-22_10-07-34,1587550054,20.07961893081665,210.06226801872253,9699,ip-172-31-18-49,172.31.18.49,210.06226801872253,11000,11,0,00005,"5_actor_lr=0.001,critic_lr=0.0001,use_pytorch=False","[-457.5317487890154, -387.72340398996744, -171.55102340667653, -646.96425829957, -562.7438515226168, -518.6896236056, -352.4044026860233, -371.31340967366344, -464.1518142808947, -429.9024583172514, -431.67614631978716]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26798965144250037,0.47645198147368345,1.9613552010151345,[{'cur_scale': 0.02}],11000,672000,11000,3.837,4.456,11.356,0.005,5635.825,64.0,83.25102040816327,8.461224489795919,-1.7883327,3.0053616,-4.2823796
-171.55102340667653,-646.96425829957,-439.64225049078635,1000.0,1,1000,1000,False,12000,12,12,a05c6c4c06b54bdb94247dab795d57f6,2020-04-22_10-07-53,1587550073,19.816486120224,229.87875413894653,9699,ip-172-31-18-49,172.31.18.49,229.87875413894653,12000,12,0,00005,"5_actor_lr=0.001,critic_lr=0.0001,use_pytorch=False","[-481.05486499836974, -387.72340398996744, -171.55102340667653, -646.96425829957, -562.7438515226168, -518.6896236056, -352.4044026860233, -371.31340967366344, -464.1518142808947, -429.9024583172514, -431.67614631978716, -457.5317487890154]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26810516748218594,0.476918627409943,1.9625259785817126,[{'cur_scale': 0.02}],12000,736000,12000,3.028,5.005,10.581,0.004,6048.854,64.0,84.10357142857143,8.5,-2.5325599,1.4073818,-5.710617
-171.55102340667653,-646.96425829957,-434.0375570973011,1000.0,1,1000,1000,False,13000,13,13,a05c6c4c06b54bdb94247dab795d57f6,2020-04-22_10-08-13,1587550093,19.786789178848267,249.6655433177948,9699,ip-172-31-18-49,172.31.18.49,249.6655433177948,13000,13,0,00005,"5_actor_lr=0.001,critic_lr=0.0001,use_pytorch=False","[-366.7812363754787, -387.72340398996744, -171.55102340667653, -646.96425829957, -562.7438515226168, -518.6896236056, -352.4044026860233, -371.31340967366344, -464.1518142808947, -429.9024583172514, -431.67614631978716, -457.5317487890154, -481.05486499836974]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2681829240374326,0.4772846584952445,1.9632542493675926,[{'cur_scale': 0.02}],13000,800000,13000,3.401,4.818,11.791,0.005,5427.961,64.0,84.40357142857144,8.5,-2.5556028,2.22356,-5.489386
-171.55102340667653,-646.96425829957,-430.83725721485774,1000.0,1,1000,1000,False,14000,14,14,a05c6c4c06b54bdb94247dab795d57f6,2020-04-22_10-08-33,1587550113,19.81106996536255,269.47661328315735,9699,ip-172-31-18-49,172.31.18.49,269.47661328315735,14000,14,0,00005,"5_actor_lr=0.001,critic_lr=0.0001,use_pytorch=False","[-389.23335874309436, -387.72340398996744, -171.55102340667653, -646.96425829957, -562.7438515226168, -518.6896236056, -352.4044026860233, -371.31340967366344, -464.1518142808947, -429.9024583172514, -431.67614631978716, -457.5317487890154, -481.05486499836974, -366.7812363754787]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26820336478703927,0.47760452987270924,1.96398259821401,[{'cur_scale': 0.02}],14000,864000,14000,2.754,4.016,9.621,0.004,6652.28,64.0,83.8142857142857,8.5,-2.5248065,2.2738502,-5.6732206
-171.55102340667653,-646.96425829957,-429.0437982830268,1000.0,1,1000,1000,False,15000,15,15,a05c6c4c06b54bdb94247dab795d57f6,2020-04-22_10-08-53,1587550133,20.165724515914917,289.64233779907227,9699,ip-172-31-18-49,172.31.18.49,289.64233779907227,15000,15,0,00005,"5_actor_lr=0.001,critic_lr=0.0001,use_pytorch=False","[-403.9353732373931, -387.72340398996744, -171.55102340667653, -646.96425829957, -562.7438515226168, -518.6896236056, -352.4044026860233, -371.31340967366344, -464.1518142808947, -429.9024583172514, -431.67614631978716, -457.5317487890154, -481.05486499836974, -366.7812363754787, -389.23335874309436]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26824590577279395,0.4778805704410511,1.9646381764036775,[{'cur_scale': 0.02}],15000,928000,15000,3.002,4.874,10.386,0.004,6162.133,64.0,84.07241379310346,8.5,-2.8334684,1.0574356,-5.842008
-171.55102340667653,-646.96425829957,-426.41559232236557,1000.0,1,1000,1000,False,16000,16,16,a05c6c4c06b54bdb94247dab795d57f6,2020-04-22_10-09-27,1587550167,19.591355800628662,309.2336935997009,9699,ip-172-31-18-49,172.31.18.49,309.2336935997009,16000,16,0,00005,"5_actor_lr=0.001,critic_lr=0.0001,use_pytorch=False","[-386.992502912447, -387.72340398996744, -171.55102340667653, -646.96425829957, -562.7438515226168, -518.6896236056, -352.4044026860233, -371.31340967366344, -464.1518142808947, -429.9024583172514, -431.67614631978716, -457.5317487890154, -481.05486499836974, -366.7812363754787, -389.23335874309436, -403.9353732373931]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26826161144029675,0.4781409709695652,1.965162767421237,[{'cur_scale': 0.02}],16000,992000,16000,3.581,5.107,10.161,0.004,6298.478,64.0,83.33541666666666,8.5,-3.0605245,1.7632366,-7.051039
-171.55102340667653,-646.96425829957,-424.08037436530924,1000.0,1,1000,1000,False,17000,17,17,a05c6c4c06b54bdb94247dab795d57f6,2020-04-22_10-09-47,1587550187,19.936972618103027,329.17066621780396,9699,ip-172-31-18-49,172.31.18.49,329.17066621780396,17000,17,0,00005,"5_actor_lr=0.001,critic_lr=0.0001,use_pytorch=False","[-386.71688705240877, -387.72340398996744, -171.55102340667653, -646.96425829957, -562.7438515226168, -518.6896236056, -352.4044026860233, -371.31340967366344, -464.1518142808947, -429.9024583172514, -431.67614631978716, -457.5317487890154, -481.05486499836974, -366.7812363754787, -389.23335874309436, -403.9353732373931, -386.992502912447]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2682800940469333,0.4783727658210099,1.9655921798560687,[{'cur_scale': 0.02}],17000,1056000,17000,2.767,3.594,9.427,0.004,6789.286,64.0,83.91724137931035,8.5,-3.3047087,0.7480431,-8.309639
-171.55102340667653,-646.96425829957,-421.215703429763,1000.0,1,1000,1000,False,18000,18,18,a05c6c4c06b54bdb94247dab795d57f6,2020-04-22_10-10-07,1587550207,19.892717599868774,349.06338381767273,9699,ip-172-31-18-49,172.31.18.49,349.06338381767273,18000,18,0,00005,"5_actor_lr=0.001,critic_lr=0.0001,use_pytorch=False","[-372.51629752547524, -387.72340398996744, -171.55102340667653, -646.96425829957, -562.7438515226168, -518.6896236056, -352.4044026860233, -371.31340967366344, -464.1518142808947, -429.9024583172514, -431.67614631978716, -457.5317487890154, -481.05486499836974, -366.7812363754787, -389.23335874309436, -403.9353732373931, -386.992502912447, -386.71688705240877]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2683148201850535,0.4786028211307252,1.966040174491713,[{'cur_scale': 0.02}],18000,1120000,18000,3.214,4.799,12.117,0.005,5282.031,64.0,83.97500000000001,8.5,-3.3567483,3.8094382,-6.964482
-171.55102340667653,-646.96425829957,-417.0987554656749,1000.0,1,1000,1000,False,19000,19,19,a05c6c4c06b54bdb94247dab795d57f6,2020-04-22_10-10-26,1587550226,19.61693811416626,368.680321931839,9699,ip-172-31-18-49,172.31.18.49,368.680321931839,19000,19,0,00005,"5_actor_lr=0.001,critic_lr=0.0001,use_pytorch=False","[-342.99369211209034, -387.72340398996744, -171.55102340667653, -646.96425829957, -562.7438515226168, -518.6896236056, -352.4044026860233, -371.31340967366344, -464.1518142808947, -429.9024583172514, -431.67614631978716, -457.5317487890154, -481.05486499836974, -366.7812363754787, -389.23335874309436, -403.9353732373931, -386.992502912447, -386.71688705240877, -372.51629752547524]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2683400311661458,0.4787946367986727,1.9662815303105456,[{'cur_scale': 0.02}],19000,1184000,19000,3.102,4.766,11.917,0.005,5370.578,64.0,84.53214285714284,8.5,-3.467609,4.1879277,-6.2899847
-171.55102340667653,-646.96425829957,-415.2720052314372,1000.0,1,1000,1000,False,20000,20,20,a05c6c4c06b54bdb94247dab795d57f6,2020-04-22_10-10-46,1587550246,19.672093629837036,388.352415561676,9699,ip-172-31-18-49,172.31.18.49,388.352415561676,20000,20,0,00005,"5_actor_lr=0.001,critic_lr=0.0001,use_pytorch=False","[-380.563750780921, -387.72340398996744, -171.55102340667653, -646.96425829957, -562.7438515226168, -518.6896236056, -352.4044026860233, -371.31340967366344, -464.1518142808947, -429.9024583172514, -431.67614631978716, -457.5317487890154, -481.05486499836974, -366.7812363754787, -389.23335874309436, -403.9353732373931, -386.992502912447, -386.71688705240877, -372.51629752547524, -342.99369211209034]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.26833218888563054,0.4789560646792717,1.9664264243792424,[{'cur_scale': 0.02}],20000,1248000,20000,3.434,4.478,10.68,0.005,5992.746,64.0,84.00714285714285,8.5,-3.5640662,1.562267,-7.6212745
