episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
375.0,150.0,251.25,1644.1,4,5000,False,55000,104,11,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-28-49,1579678129,5.758305549621582,71.18236756324768,3564,ip-172-31-17-119,172.31.17.119,71.18236756324768,55000,11,10,59606e94,2_env=QbertNoFrameskip-v4,55000,55000,1944.721,689.662,3173.598,13.013,23.4625,6.9375,0.84375,4.999999873689376e-05,0.12180115,-0.0037969635,0.12093206,0.81629705,0.011999085,0.5458164,0.009999999776482582
375.0,150.0,252.5,1663.68,15,5000,False,60000,119,12,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-28-55,1579678135,5.791544675827026,76.9739122390747,3564,ip-172-31-17-119,172.31.17.119,76.9739122390747,60000,12,10,59606e94,2_env=QbertNoFrameskip-v4,60000,60000,1933.053,683.797,3157.248,12.623,23.924999999999997,6.95,0.84375,4.999999873689376e-05,0.11546205,-0.0038122623,0.118838765,0.8998995,0.0069794366,0.5453341,0.009999999776482582
375.0,150.0,267.5,1677.92,20,5000,False,65000,139,13,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-29-01,1579678141,5.779376745223999,82.7532889842987,3564,ip-172-31-17-119,172.31.17.119,82.7532889842987,65000,13,10,59606e94,2_env=QbertNoFrameskip-v4,65000,65000,1918.5,684.813,3153.061,12.425,22.400000000000002,6.944444444444445,0.84375,4.999999873689376e-05,0.10137926,-0.0010794159,0.100301124,0.925341,0.009347007,0.57289803,0.009999999776482582
375.0,150.0,272.5,1671.78,10,5000,False,70000,149,14,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-29-07,1579678147,5.6964638233184814,88.44975280761719,3564,ip-172-31-17-119,172.31.17.119,88.44975280761719,70000,14,10,59606e94,2_env=QbertNoFrameskip-v4,70000,70000,1893.876,689.483,3152.325,11.892,22.7875,6.949999999999999,0.84375,4.999999873689376e-05,0.12831639,-0.0031323754,0.12893443,0.8743866,0.009895058,0.5834621,0.009999999776482582
375.0,150.0,278.0,1685.89,9,5000,False,75000,158,15,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-29-12,1579678152,5.831666946411133,94.28141975402832,3564,ip-172-31-17-119,172.31.17.119,94.28141975402832,75000,15,10,59606e94,2_env=QbertNoFrameskip-v4,75000,75000,1889.79,695.63,3150.632,11.858,23.887500000000003,6.9625,0.84375,4.999999873689376e-05,0.12972951,-9.925962e-05,0.12705533,0.8649888,0.01062237,0.6189189,0.009999999776482582
375.0,150.0,288.0,1676.28,15,5000,False,80000,173,16,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-29-18,1579678158,5.654060125350952,99.93547987937927,3564,ip-172-31-17-119,172.31.17.119,99.93547987937927,80000,16,10,59606e94,2_env=QbertNoFrameskip-v4,80000,80000,1878.637,695.682,3146.667,11.986,23.612500000000004,6.987500000000001,0.84375,4.999999873689376e-05,0.11356155,-0.009744449,0.12607227,0.9026761,0.004065024,0.61961436,0.009999999776482582
375.0,150.0,297.5,1658.25,15,5000,False,85000,188,17,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-29-24,1579678164,5.692763805389404,105.62824368476868,3564,ip-172-31-17-119,172.31.17.119,105.62824368476868,85000,17,10,59606e94,2_env=QbertNoFrameskip-v4,85000,85000,1867.144,689.036,3147.573,12.091,23.637500000000003,6.975,0.421875,4.999999873689376e-05,0.09934488,-0.008882022,0.11101806,0.9152309,0.007883302,0.61169356,0.009999999776482582
375.0,150.0,307.0,1656.41,11,5000,False,90000,199,18,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-29-29,1579678169,5.669338226318359,111.29758191108704,3564,ip-172-31-17-119,172.31.17.119,111.29758191108704,90000,18,10,59606e94,2_env=QbertNoFrameskip-v4,90000,90000,1848.992,689.0,3150.344,12.396,23.2625,6.95,0.421875,4.999999873689376e-05,0.11278311,0.0025474764,0.11120726,0.90293425,0.012001673,0.60348356,0.009999999776482582
400.0,150.0,314.75,1646.09,14,5000,False,95000,213,19,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-29-35,1579678175,5.665714979171753,116.96329689025879,3564,ip-172-31-17-119,172.31.17.119,116.96329689025879,95000,19,10,59606e94,2_env=QbertNoFrameskip-v4,95000,95000,1848.187,687.673,3148.347,12.468,22.433333333333334,6.988888888888889,0.421875,4.999999873689376e-05,0.08811756,-0.008046049,0.09921546,0.9256951,0.00697977,0.59964335,0.009999999776482582
400.0,225.0,321.5,1632.52,14,5000,False,100000,227,20,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-29-41,1579678181,5.90116810798645,122.86446499824524,3564,ip-172-31-17-119,172.31.17.119,122.86446499824524,100000,20,10,59606e94,2_env=QbertNoFrameskip-v4,100000,100000,1848.821,699.774,3148.958,12.131,22.9875,6.9875,0.421875,4.999999873689376e-05,0.10507216,-0.011416199,0.12027514,0.91623247,0.004411852,0.5648045,0.009999999776482582
400.0,225.0,319.5,1605.3,9,5000,False,105000,236,21,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-29-47,1579678187,5.635487079620361,128.4999520778656,3564,ip-172-31-17-119,172.31.17.119,128.4999520778656,105000,21,10,59606e94,2_env=QbertNoFrameskip-v4,105000,105000,1843.7,694.107,3147.905,12.015,22.5625,7.0,0.2109375,4.999999873689376e-05,0.107744016,0.0139502585,0.09329893,0.92522925,0.029841715,0.57999074,0.009999999776482582
425.0,250.0,324.25,1589.36,14,5000,False,110000,250,22,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-29-52,1579678192,5.7418153285980225,134.24176740646362,3564,ip-172-31-17-119,172.31.17.119,134.24176740646362,110000,22,10,59606e94,2_env=QbertNoFrameskip-v4,110000,110000,1834.284,700.434,3145.809,12.084,21.4625,7.012499999999999,0.31640625,4.999999873689376e-05,0.09724584,-0.006008762,0.10611866,0.920543,0.010915594,0.6317809,0.009999999776482582
