episode_reward_mean,episode_len_mean,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,info/weights_norm,info/grad_norm,info/update_ratio,info/episodes_this_iter,info/episodes_so_far,perf/cpu_util_percent,perf/ram_util_percent
475.35312,102.5,100588,False,1325490,,18,f40be572257d44af82a0f1e316d9b8db,2020-04-22_10-57-04,1587553024,3.3464837074279785,67.21665787696838,79585,ip-172-31-19-219,172.31.19.219,67.21665787696838,1325490,18,00000,0,807.9444,11.875507,0.037303254,1146,20142,69.82499999999999,15.1
491.0734,119.0,99976,False,1425466,,19,f40be572257d44af82a0f1e316d9b8db,2020-04-22_10-57-08,1587553028,3.4416515827178955,70.65830945968628,79585,ip-172-31-19-219,172.31.19.219,70.65830945968628,1425466,19,00000,0,820.204,12.1421585,0.036434058,1148,21290,62.5,15.1
506.64706,102.0,102330,False,1527796,,20,f40be572257d44af82a0f1e316d9b8db,2020-04-22_10-57-11,1587553031,3.5580694675445557,74.21637892723083,79585,ip-172-31-19-219,172.31.19.219,74.21637892723083,1527796,20,00000,0,831.9407,12.588885,0.03578658,1142,22432,65.54,15.1
510.25934,80.5,102442,False,1630238,,21,f40be572257d44af82a0f1e316d9b8db,2020-04-22_10-57-15,1587553035,3.3875248432159424,77.60390377044678,79585,ip-172-31-19-219,172.31.19.219,77.60390377044678,1630238,21,00000,0,843.21136,11.974116,0.03508434,1144,23576,61.65999999999999,15.1
510.25934,nan,104366,False,1734604,,22,f40be572257d44af82a0f1e316d9b8db,2020-04-22_10-57-18,1587553038,3.615027666091919,81.2189314365387,79585,ip-172-31-19-219,172.31.19.219,81.2189314365387,1734604,22,00000,0,854.1562,11.596734,0.03437601,1148,24724,61.82000000000001,15.1
512.37756,83.0,105405,False,1840009,,23,f40be572257d44af82a0f1e316d9b8db,2020-04-22_10-57-22,1587553042,3.409179449081421,84.62811088562012,79585,ip-172-31-19-219,172.31.19.219,84.62811088562012,1840009,23,00000,0,864.5633,11.650374,0.03374028,1140,25864,67.26,15.1
512.37756,nan,108704,False,1948713,,24,f40be572257d44af82a0f1e316d9b8db,2020-04-22_10-57-25,1587553045,3.7163195610046387,88.34443044662476,79585,ip-172-31-19-219,172.31.19.219,88.34443044662476,1948713,24,00000,0,874.68005,11.88778,0.033277344,1142,27006,58.150000000000006,15.1
524.8162,117.0,109312,False,2058025,,25,f40be572257d44af82a0f1e316d9b8db,2020-04-22_10-57-29,1587553049,3.638568162918091,91.98299860954285,79585,ip-172-31-19-219,172.31.19.219,91.98299860954285,2058025,25,00000,0,884.35345,12.142718,0.032871235,1142,28148,66.2,15.12
514.95483,107.66666666666667,111052,False,2169077,,26,f40be572257d44af82a0f1e316d9b8db,2020-04-22_10-57-33,1587553053,3.691530227661133,95.67452883720398,79585,ip-172-31-19-219,172.31.19.219,95.67452883720398,2169077,26,00000,0,893.65906,12.563058,0.032615878,1144,29292,67.78,15.1
517.09534,117.66666666666667,109993,False,2279070,,27,f40be572257d44af82a0f1e316d9b8db,2020-04-22_10-57-36,1587553056,3.7055890560150146,99.380117893219,79585,ip-172-31-19-219,172.31.19.219,99.380117893219,2279070,27,00000,0,902.6743,11.673831,0.0321824,1144,30436,63.339999999999996,15.1
