episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/sample_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,info/learner/cur_kl_coeff,info/learner/cur_lr,info/learner/total_loss,info/learner/policy_loss,info/learner/vf_loss,info/learner/vf_explained_var,info/learner/kl,info/learner/entropy,info/learner/entropy_coeff
530.0,50.0,217.5,2689.3214285714284,5,5000,False,55000,56,11,caffbba0dfb24834a7e67ebc8367a600,2020-01-21_10-30-03,1579602603,7.682093858718872,93.10096979141235,5629,ip-172-31-17-119,172.31.17.119,93.10096979141235,55000,11,10,bf430e66,3_env=SpaceInvadersNoFrameskip-v4,55000,55000,2318.2,5603.367,22.211,892.321,2156.845,5000.0,20.836363636363632,9.718181818181817,0.25,5e-05,0.046824824,-0.022956409,0.076181926,0.9220101,0.00824792,0.8462675,0.009999999999999998
530.0,50.0,220.77586206896552,2752.448275862069,2,5000,False,60000,58,12,caffbba0dfb24834a7e67ebc8367a600,2020-01-21_10-30-10,1579602610,7.791795253753662,100.89276504516602,5629,ip-172-31-17-119,172.31.17.119,100.89276504516602,60000,12,10,bf430e66,3_env=SpaceInvadersNoFrameskip-v4,60000,60000,2288.628,5595.063,21.15,893.645,2184.715,5000.0,20.836363636363636,9.754545454545456,0.25,5e-05,0.01861148,-0.0282357,0.054266732,0.93793374,0.0074175186,0.9273928,0.009999999999999998
530.0,50.0,220.46875,2734.34375,6,5000,False,65000,64,13,caffbba0dfb24834a7e67ebc8367a600,2020-01-21_10-30-18,1579602618,7.698257923126221,108.59102296829224,5629,ip-172-31-17-119,172.31.17.119,108.59102296829224,65000,13,10,bf430e66,3_env=SpaceInvadersNoFrameskip-v4,65000,65000,2256.384,5593.989,20.483,893.817,2215.935,5000.0,20.463636363636365,9.818181818181818,0.25,5e-05,0.018079404,-0.030586684,0.05607299,0.9404151,0.0072103366,0.920949,0.009999999999999998
530.0,50.0,220.0,2712.323943661972,7,5000,False,70000,71,14,caffbba0dfb24834a7e67ebc8367a600,2020-01-21_10-30-26,1579602626,7.599880218505859,116.1909031867981,5629,ip-172-31-17-119,172.31.17.119,116.1909031867981,70000,14,10,bf430e66,3_env=SpaceInvadersNoFrameskip-v4,70000,70000,2215.333,5585.432,19.427,895.186,2256.997,5000.0,20.37272727272727,9.918181818181818,0.25,5e-05,0.0152169075,-0.027598482,0.050070047,0.9666734,0.0076506836,0.9167334,0.009999999999999998
530.0,50.0,221.890243902439,2715.756097560976,11,5000,False,75000,82,15,caffbba0dfb24834a7e67ebc8367a600,2020-01-21_10-30-33,1579602633,7.745411396026611,123.9363145828247,5629,ip-172-31-17-119,172.31.17.119,123.9363145828247,75000,15,10,bf430e66,3_env=SpaceInvadersNoFrameskip-v4,75000,75000,2179.366,5593.67,19.638,893.868,2294.245,5000.0,19.66363636363636,9.954545454545455,0.25,5e-05,0.023916315,-0.024747945,0.055514824,0.96132165,0.008235094,0.89093333,0.009999999999999998
530.0,50.0,223.65168539325842,2724.775280898876,7,5000,False,80000,89,16,caffbba0dfb24834a7e67ebc8367a600,2020-01-21_10-30-41,1579602641,7.805872201919556,131.74218678474426,5629,ip-172-31-17-119,172.31.17.119,131.74218678474426,80000,16,10,bf430e66,3_env=SpaceInvadersNoFrameskip-v4,80000,80000,2141.211,5603.789,22.092,892.253,2335.127,5000.0,20.381818181818183,9.98181818181818,0.25,5e-05,0.038770895,-0.020857839,0.065863356,0.9502425,0.008089998,0.8257122,0.009999999999999998
530.0,50.0,224.46808510638297,2700.553191489362,5,5000,False,85000,94,17,caffbba0dfb24834a7e67ebc8367a600,2020-01-21_10-30-49,1579602649,7.818730354309082,139.56091713905334,5629,ip-172-31-17-119,172.31.17.119,139.56091713905334,85000,17,10,bf430e66,3_env=SpaceInvadersNoFrameskip-v4,85000,85000,2107.019,5617.28,22.67,890.11,2373.02,5000.0,20.849999999999998,10.016666666666666,0.25,5e-05,0.0340314,-0.022117954,0.06205721,0.9466125,0.010152519,0.8445985,0.009999999999999998
530.0,70.0,229.05,2767.82,12,5000,False,90000,106,18,caffbba0dfb24834a7e67ebc8367a600,2020-01-21_10-30-57,1579602657,7.744513988494873,147.30543112754822,5629,ip-172-31-17-119,172.31.17.119,147.30543112754822,90000,18,10,bf430e66,3_env=SpaceInvadersNoFrameskip-v4,90000,90000,2081.934,5618.004,22.407,889.996,2401.613,5000.0,20.063636363636363,10.090909090909092,0.25,5e-05,0.019523272,-0.030082915,0.056732308,0.9560776,0.007427865,0.8983089,0.009999999999999998
530.0,70.0,236.4,2811.98,11,5000,False,95000,117,19,caffbba0dfb24834a7e67ebc8367a600,2020-01-21_10-31-05,1579602665,7.771224498748779,155.076655626297,5629,ip-172-31-17-119,172.31.17.119,155.076655626297,95000,19,10,bf430e66,3_env=SpaceInvadersNoFrameskip-v4,95000,95000,2057.979,5629.828,22.996,888.127,2429.568,5000.0,20.08181818181818,10.136363636363635,0.25,5e-05,0.016285878,-0.029139802,0.052668698,0.9636181,0.008039424,0.92528725,0.009999999999999998
530.0,70.0,234.55,2786.04,7,5000,False,100000,124,20,caffbba0dfb24834a7e67ebc8367a600,2020-01-21_10-31-12,1579602672,7.738644361495972,162.81529998779297,5629,ip-172-31-17-119,172.31.17.119,162.81529998779297,100000,20,10,bf430e66,3_env=SpaceInvadersNoFrameskip-v4,100000,100000,2037.509,5646.312,22.823,885.534,2453.977,5000.0,20.172727272727272,10.163636363636362,0.25,5e-05,0.03410556,-0.0218784,0.062454365,0.9531126,0.010351944,0.90583926,0.009999999999999998
